"id","book_id","best_book_id","work_id","books_count","isbn","title","language_code","average_rating","ratings_count","work_ratings_count","work_text_reviews_count","image_url","small_image_url","created_at","updated_at","label","isbn13"
12,"4671","4671","245494",1356,"743273567","The Great Gatsby","eng","3.89","2683664","2773745","51992","https://images.gr-assets.com/books/1490528560m/4671.jpg","https://images.gr-assets.com/books/1490528560s/4671.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
13,"11870085","11870085","16827462",226,"525478817","The Fault in Our Stars","eng","4.26","2346404","2478609","140739","https://images.gr-assets.com/books/1360206420m/11870085.jpg","https://images.gr-assets.com/books/1360206420s/11870085.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
14,"28194","28194","2628323",134,"439709105","Tintenherz","en-US","3.86","285011","301414","10384","https://images.gr-assets.com/books/1328866790m/28194.jpg","https://images.gr-assets.com/books/1328866790s/28194.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
15,"2536134","2536134","2543657",61,"61448761","Gone","eng","3.85","144606","153953","9445","https://images.gr-assets.com/books/1357796831m/2536134.jpg","https://images.gr-assets.com/books/1357796831s/2536134.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
16,"13206828","13206828","18390772",51,"312642970","Cress","eng","4.46","162069","177466","20055","https://images.gr-assets.com/books/1470057005m/13206828.jpg","https://images.gr-assets.com/books/1470057005s/13206828.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
17,"61179","61179","924711",89,"575077026","Ringworld","eng","3.96","76925","82561","2540","https://images.gr-assets.com/books/1408793358m/61179.jpg","https://images.gr-assets.com/books/1408793358s/61179.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",9,"9.78E+12"
18,"17910611","17910611","21865617",59,"812984277","Wedding Night","eng","3.4","32084","59482","5165","https://images.gr-assets.com/books/1396634329m/17910611.jpg","https://images.gr-assets.com/books/1396634329s/17910611.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
19,"6138","6138","1044477",260,"375757856","The Moonstone","eng","3.9","50322","58283","3297","https://images.gr-assets.com/books/1403192382m/6138.jpg","https://images.gr-assets.com/books/1403192382s/6138.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
20,"7076706","7076706","7330987",62,"399156577","The Search","eng","4.11","34973","38603","2210","https://images.gr-assets.com/books/1302725483m/7076706.jpg","https://images.gr-assets.com/books/1302725483s/7076706.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
21,"415","415","866393",66,"143039946","Gravity's Rainbow","eng","4.03","24990","28232","2466","https://images.gr-assets.com/books/1414969925m/415.jpg","https://images.gr-assets.com/books/1414969925s/415.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
22,"82747","82747","3241063",67,"60512148","Angels","en-US","3.73","25680","27576","680","https://images.gr-assets.com/books/1407711412m/82747.jpg","https://images.gr-assets.com/books/1407711412s/82747.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",8,"9.78E+12"
23,"3973","3973","3185401",52,"380817926","Ilium","eng","4.01","19242","21323","906","https://images.gr-assets.com/books/1390894862m/3973.jpg","https://images.gr-assets.com/books/1390894862s/3973.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
24,"8635145","8635145","13505950",30,NULL,"Embrace","eng","4.01","19343","22870","1929","https://images.gr-assets.com/books/1284130161m/8635145.jpg","https://images.gr-assets.com/books/1284130161s/8635145.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
25,"7124095","7124095","6474015",39,"1416979182","Gone","eng","3.72","24393","26058","1903","https://images.gr-assets.com/books/1269866682m/7124095.jpg","https://images.gr-assets.com/books/1269866682s/7124095.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
26,"2924318","2924318","2951639",42,"374299102","Home","eng","3.97","13851","15891","2608","https://images.gr-assets.com/books/1426188598m/2924318.jpg","https://images.gr-assets.com/books/1426188598s/2924318.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
27,"5907","5907","1540236",969,"618260307","The Hobbit or There and Back Again","en-US","4.25","2071616","2196809","37653","https://images.gr-assets.com/books/1372847500m/5907.jpg","https://images.gr-assets.com/books/1372847500s/5907.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
28,"5107","5107","3036731",360,"316769177","The Catcher in the Rye","eng","3.79","2044241","2120637","44920","https://images.gr-assets.com/books/1398034300m/5107.jpg","https://images.gr-assets.com/books/1398034300s/5107.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
29,"960","960","3338963",311,"1416524797","Angels & Demons","en-CA","3.85","2001311","2078754","25112","https://images.gr-assets.com/books/1303390735m/960.jpg","https://images.gr-assets.com/books/1303390735s/960.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",8,"9.78E+12"
30,"1885","1885","3060926",3455,"679783261","Pride and Prejudice","eng","4.24","2035490","2191465","49152","https://images.gr-assets.com/books/1320399351m/1885.jpg","https://images.gr-assets.com/books/1320399351s/1885.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
31,"77203","77203","3295919",283,"1594480001","The Kite Runner","eng","4.26","1813044","1878095","59730","https://images.gr-assets.com/books/1484565687m/77203.jpg","https://images.gr-assets.com/books/1484565687s/77203.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
32,"13335037","13335037","13155899",210,"62024035","Divergent","eng","4.24","1903563","2216814","101023","https://images.gr-assets.com/books/1328559506m/13335037.jpg","https://images.gr-assets.com/books/1328559506s/13335037.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
33,"5470","5470","153313",995,"451524934","Nineteen Eighty-Four","eng","4.14","1956832","2053394","45518","https://images.gr-assets.com/books/1348990566m/5470.jpg","https://images.gr-assets.com/books/1348990566s/5470.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",10,"9.78E+12"
34,"7613","7613","2207778",896,"452284244","Animal Farm: A Fairy Story","eng","3.87","1881700","1982987","35472","https://images.gr-assets.com/books/1424037542m/7613.jpg","https://images.gr-assets.com/books/1424037542s/7613.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
35,"48855","48855","3532896",710,"553296981","Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944","eng","4.1","1972666","2024493","20825","https://images.gr-assets.com/books/1358276407m/48855.jpg","https://images.gr-assets.com/books/1358276407s/48855.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
36,"2429135","2429135","1708725",274,"307269752","Män som hatar kvinnor","eng","4.11","1808403","1929834","62543","https://images.gr-assets.com/books/1327868566m/2429135.jpg","https://images.gr-assets.com/books/1327868566s/2429135.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
37,"6148028","6148028","6171458",201,"439023491","Catching Fire","eng","4.3","1831039","1988079","88538","https://images.gr-assets.com/books/1358273780m/6148028.jpg","https://images.gr-assets.com/books/1358273780s/6148028.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
38,"5","5","2402163",376,"043965548X","Harry Potter and the Prisoner of Azkaban","eng","4.53","1832823","1969375","36099","https://images.gr-assets.com/books/1499277281m/5.jpg","https://images.gr-assets.com/books/1499277281s/5.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
39,"34","34","3204327",566,"618346252","The Fellowship of the Ring","eng","4.34","1766803","1832541","15333","https://images.gr-assets.com/books/1298411339m/34.jpg","https://images.gr-assets.com/books/1298411339s/34.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
40,"7260188","7260188","8812783",239,"439023513","Mockingjay","eng","4.03","1719760","1870748","96274","https://images.gr-assets.com/books/1358275419m/7260188.jpg","https://images.gr-assets.com/books/1358275419s/7260188.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
41,"2","2","2809203",307,"439358078","Harry Potter and the Order of the Phoenix","eng","4.46","1735368","1840548","28685","https://images.gr-assets.com/books/1387141547m/2.jpg","https://images.gr-assets.com/books/1387141547s/2.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
42,"12232938","12232938","1145090",183,"316166685","The Lovely Bones","eng","3.77","1605173","1661562","36642","https://images.gr-assets.com/books/1457810586m/12232938.jpg","https://images.gr-assets.com/books/1457810586s/12232938.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
43,"15881","15881","6231171",398,"439064864","Harry Potter and the Chamber of Secrets","eng","4.37","1779331","1906199","34172","https://images.gr-assets.com/books/1474169725m/15881.jpg","https://images.gr-assets.com/books/1474169725s/15881.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
44,"6","6","3046572",332,"439139600","Harry Potter and the Goblet of Fire","eng","4.53","1753043","1868642","31084","https://images.gr-assets.com/books/1361482611m/6.jpg","https://images.gr-assets.com/books/1361482611s/6.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
45,"136251","136251","2963218",263,"545010225","Harry Potter and the Deathly Hallows","eng","4.61","1746574","1847395","51942","https://images.gr-assets.com/books/1474171184m/136251.jpg","https://images.gr-assets.com/books/1474171184s/136251.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
46,"968","968","2982101",350,"307277674","The Da Vinci Code","eng","3.79","1447148","1557292","41560","https://images.gr-assets.com/books/1303252999m/968.jpg","https://images.gr-assets.com/books/1303252999s/968.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",8,"9.78E+12"
47,"1","1","41335427",275,"439785960","Harry Potter and the Half-Blood Prince","eng","4.54","1678823","1785676","27520","https://images.gr-assets.com/books/1361039191m/1.jpg","https://images.gr-assets.com/books/1361039191s/1.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
48,"7624","7624","2766512",458,"140283331","Lord of the Flies","eng","3.64","1605019","1671484","26886","https://images.gr-assets.com/books/1327869409m/7624.jpg","https://images.gr-assets.com/books/1327869409s/7624.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
49,"18135","18135","3349450",1937,"743477111","An Excellent conceited Tragedie of Romeo and Juliet","eng","3.73","1628519","1672889","14778","https://images.gr-assets.com/books/1327872146m/18135.jpg","https://images.gr-assets.com/books/1327872146s/18135.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
50,"8442457","19288043","13306276",196,"297859382","Gone Girl","eng","4.03","512475","1626519","121614","https://images.gr-assets.com/books/1339602131m/8442457.jpg","https://images.gr-assets.com/books/1339602131s/8442457.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
51,"4667024","4667024","4717423",183,"399155341","The Help","eng","4.45","1531753","1603545","78204","https://images.gr-assets.com/books/1346100365m/4667024.jpg","https://images.gr-assets.com/books/1346100365s/4667024.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",10,"9.78E+12"
52,"890","890","40283",373,"142000671","Of Mice and Men","eng","3.84","1467496","1518741","24642","https://images.gr-assets.com/books/1437235233m/890.jpg","https://images.gr-assets.com/books/1437235233s/890.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
53,"930","929","1558965",220,"739326228","Memoirs of a Geisha","eng","4.08","1300209","1418172","25605","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",10,"9.78E+12"
54,"10818853","10818853","15732562",169,"1612130291","Fifty Shades of Grey","eng","3.67","1338493","1436818","75437","https://images.gr-assets.com/books/1385207843m/10818853.jpg","https://images.gr-assets.com/books/1385207843s/10818853.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
55,"865","865","4835472",458,"61122416","O Alquimista","eng","3.82","1299566","1403995","55781","https://images.gr-assets.com/books/1483412266m/865.jpg","https://images.gr-assets.com/books/1483412266s/865.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
56,"3636","3636","2543234",192,"385732554","The Giver","eng","4.12","1296825","1345445","54084","https://images.gr-assets.com/books/1342493368m/3636.jpg","https://images.gr-assets.com/books/1342493368s/3636.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
57,"100915","100915","4790821",474,"60764899","The Lion, the Witch and the Wardrobe","eng","4.19","1531800","1584884","15186","https://images.gr-assets.com/books/1353029077m/100915.jpg","https://images.gr-assets.com/books/1353029077s/100915.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
58,"14050","18619684","2153746",167,"965818675","The Time Traveler's Wife","eng","3.95","746287","1308667","43382","https://images.gr-assets.com/books/1437728815m/14050.jpg","https://images.gr-assets.com/books/1437728815s/14050.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
59,"13496","13496","1466917",101,"553588486","A Game of Thrones","eng","4.45","1319204","1442220","46205","https://images.gr-assets.com/books/1436732693m/13496.jpg","https://images.gr-assets.com/books/1436732693s/13496.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
60,"19501","19501","3352398",185,"143038419","Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","eng","3.51","1181647","1206597","49714","https://images.gr-assets.com/books/1503066414m/19501.jpg","https://images.gr-assets.com/books/1503066414s/19501.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
61,"28187","28187","3346751",159,"786838655","The Lightning Thief","eng","4.23","1366265","1411114","46006","https://images.gr-assets.com/books/1400602609m/28187.jpg","https://images.gr-assets.com/books/1400602609s/28187.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
62,"1934","1934","3244642",1707,"451529308","Little Women","en-US","4.04","1257121","1314293","17090","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
63,"10210","10210","2977639",2568,"142437204","Jane Eyre","eng","4.1","1198557","1286135","31212","https://images.gr-assets.com/books/1327867269m/10210.jpg","https://images.gr-assets.com/books/1327867269s/10210.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",10,"9.78E+12"
64,"15931","15931","1498135",190,"553816713","The Notebook","eng","4.06","1053403","1076749","17279","https://images.gr-assets.com/books/1385738917m/15931.jpg","https://images.gr-assets.com/books/1385738917s/15931.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
65,"43641","43641","3441236",128,"1565125606","Water for Elephants","eng","4.07","1068146","1108839","55732","https://images.gr-assets.com/books/1494428973m/43641.jpg","https://images.gr-assets.com/books/1494428973s/43641.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
66,"19063","19063","878368",251,"375831002","The Book Thief","eng","4.36","1159741","1287798","93611","https://images.gr-assets.com/books/1390053681m/19063.jpg","https://images.gr-assets.com/books/1390053681s/19063.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
67,"4381","4381","1272463",507,"307347974","Fahrenheit 451","spa","3.97","570498","1176240","30694","https://images.gr-assets.com/books/1351643740m/4381.jpg","https://images.gr-assets.com/books/1351643740s/4381.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
68,"49041","49041","3203964",194,"316160199","New Moon (Twilight, #2)","eng","3.52","1149630","1199000","44020","https://images.gr-assets.com/books/1361039440m/49041.jpg","https://images.gr-assets.com/books/1361039440s/49041.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
69,"30119","30119","30518",45,"60513039","Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein","eng","4.29","1016888","1023781","9234","https://images.gr-assets.com/books/1168052448m/30119.jpg","https://images.gr-assets.com/books/1168052448s/30119.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
70,"256683","256683","2267189",178,"1416914285","City of Bones","eng","4.12","1154031","1241799","51589","https://images.gr-assets.com/books/1432730315m/256683.jpg","https://images.gr-assets.com/books/1432730315s/256683.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
71,"428263","428263","2675454",185,"316160202","Eclipse","en-US","3.69","1134511","1176642","35216","https://images.gr-assets.com/books/1361038355m/428263.jpg","https://images.gr-assets.com/books/1361038355s/428263.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
72,"113436","113436","3178011",217,"375826696","Eragon","en-US","3.86","1104021","1125231","18280","https://images.gr-assets.com/books/1366212852m/113436.jpg","https://images.gr-assets.com/books/1366212852s/113436.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
73,"11","386162","3078186",257,"345391802","The Hitchhiker's Guide to the Galaxy","en-US","4.2","936782","1006479","20345","https://images.gr-assets.com/books/1327656754m/11.jpg","https://images.gr-assets.com/books/1327656754s/11.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",9,"9.78E+12"
74,"5129","5129","3204877",515,"60929871","Brave New World","eng","3.97","1022601","1079135","20095","https://images.gr-assets.com/books/1487389574m/5129.jpg","https://images.gr-assets.com/books/1487389574s/5129.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
75,"1162543","1162543","2960529",183,"031606792X","Breaking Dawn","en-US","3.7","1070245","1107709","44550","https://images.gr-assets.com/books/1361039438m/1162543.jpg","https://images.gr-assets.com/books/1361039438s/1162543.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",10,"9.78E+12"
76,"11588","11588","849585",289,"450040186","The Shining","eng","4.17","791850","830881","14936","https://images.gr-assets.com/books/1353277730m/11588.jpg","https://images.gr-assets.com/books/1353277730s/11588.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
77,"37435","37435","3275013",125,"142001740","The Secret Life of Bees","en-US","4.01","916189","937393","26522","https://images.gr-assets.com/books/1473454532m/37435.jpg","https://images.gr-assets.com/books/1473454532s/37435.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
78,"2956","2956","1835605",2277,"142437174","The Adventures of Huckleberry Finn","eng","3.8","953758","1001491","12448","https://images.gr-assets.com/books/1405973850m/2956.jpg","https://images.gr-assets.com/books/1405973850s/2956.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
79,"24178","24178","987048",180,"64410935","Charlotte's Web","eng","4.15","1064521","1084842","13044","https://images.gr-assets.com/books/1439632243m/24178.jpg","https://images.gr-assets.com/books/1439632243s/24178.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
80,"1618","1618","4259809",183,"1400032717","The Curious Incident of the Dog in the Night-Time","eng","3.85","867553","915790","35796","https://images.gr-assets.com/books/1479863624m/1618.jpg","https://images.gr-assets.com/books/1479863624s/1618.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
81,"22557272","22557272","41107568",14,"1594633665","The Girl on the Train","eng","3.88","1008778","1226485","93600","https://images.gr-assets.com/books/1490903702m/22557272.jpg","https://images.gr-assets.com/books/1490903702s/22557272.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
82,"119322","119322","1536771",287,"679879242","Northern Lights","eng","3.94","953970","994914","14915","https://images.gr-assets.com/books/1451271747m/119322.jpg","https://images.gr-assets.com/books/1451271747s/119322.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
83,"6185","6185","1565818",2498,"393978893","Wuthering Heights","eng","3.82","899195","1001135","26157","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
84,"10917","10917","1639903",125,"743454537","My Sister's Keeper","eng","4.06","863879","887880","30719","https://images.gr-assets.com/books/1369504683m/10917.jpg","https://images.gr-assets.com/books/1369504683s/10917.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
85,"4981","4981","1683562",241,"385333846","Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ","eng","4.06","846488","891762","19646","https://images.gr-assets.com/books/1440319389m/4981.jpg","https://images.gr-assets.com/books/1440319389s/4981.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
86,"18405","18405","3358283",409,"446675539","Gone with the Wind","eng","4.28","873981","897303","16050","https://images.gr-assets.com/books/1328025229m/18405.jpg","https://images.gr-assets.com/books/1328025229s/18405.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",10,"9.78E+12"
87,"128029","128029","3271379",197,"1594489505","A Thousand Splendid Suns","eng","4.34","818742","866065","43645","https://images.gr-assets.com/books/1345958969m/128029.jpg","https://images.gr-assets.com/books/1345958969s/128029.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
88,"22628","22628","2236198",128,"671027344","The Perks of Being a Wallflower","eng","4.21","888806","954905","47116","https://images.gr-assets.com/books/1167352178m/22628.jpg","https://images.gr-assets.com/books/1167352178s/22628.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
89,"11735983","11735983","15524542",164,"7442912","Insurgent","eng","4.07","836362","947338","55873","https://images.gr-assets.com/books/1325667729m/11735983.jpg","https://images.gr-assets.com/books/1325667729s/11735983.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
90,"375802","375802","2422333",224,"812550706","Ender's Game","eng","4.3","813439","873417","38054","https://images.gr-assets.com/books/1408303130m/375802.jpg","https://images.gr-assets.com/books/1408303130s/375802.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
91,"18490","18490","4836639",2618,"141439475","Frankenstein; or, The Modern Prometheus","eng","3.75","808589","883563","19993","https://images.gr-assets.com/books/1381512375m/18490.jpg","https://images.gr-assets.com/books/1381512375s/18490.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
92,"1656001","1656001","3328799",161,"316068047","The Host","en-US","3.84","749780","777560","39778","https://images.gr-assets.com/books/1318009171m/1656001.jpg","https://images.gr-assets.com/books/1318009171s/1656001.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
